测试,#genre#
爱情公寓,http://epg.112114.xyz/huya/11336726
爱情公寓,http://diyp.112114.xyz/huya/11336726
爱情公寓,http://117.148.179.160/PLTV/88888888/224/3221231583/index.m3u8
爱情公寓,http://angtv.cc/test/douyu.php?id=2838296
爱情公寓,http://epg.112114.xyz/douyu/2838296
爱情公寓,http://epg.112114.xyz/douyu/4105989
爱情公寓,http://txtest-xp2p.p2p.huya.com/src/1388474069-1388474069-5963450717699047424-2777071594-10057-A-0-1-imgplus.xs
爱情公寓,http://tvmvip110.club/douyu.php?id=6863367
爱情公寓,http://tvmvip110.club/huya.php?id=11336726
爱情公寓,http://148.70.143.24/cms/yslb/yunshitv/wangyouzhibo/douyu.php?tvplay=4105989
爱情公寓,http://dyscdnali3.douyucdn.cn/live/4105989r12e6ci7j.flv?uuid=
爱情公寓,http://epg.112114.xyz/douyu/4105989
爱情公寓,http://auney.gearhostpreview.com/huya.php?id=11336726
爱情公寓,http://159.75.85.63:35455/huya/11336726
爱情公寓,https://yang-1989.eu.org/live/huya/11336726
爱情公寓,https://epg.112114.xyz/huya/11336726
爱情公寓,http://159.75.85.63:35455/huya/11336726
爱情公寓,http://159.75.85.63:35455/douyu/2838296
爱情公寓,http://epg.112114.xyz/douyu/2838296
爱情公寓,http://117.148.179.165/PLTV/88888888/224/3221231583/index.m3u8?zmid
爱情公寓,http://epg.112114.xyz/douyu/6863367
爱情公寓,http://aldirect.rtmp.huya.com/backsrc/30765679-2523417493-10837995606589308928-2777071594-10057-A-0-1.m3u8
爱情公寓,http://204bae1.123nat.com:66/test/hya1.php?id=11336726
爱情公寓,http://49.235.110.121:9090/898/peda/dyu.php?id=2838296
